artist,track,album_name,album_type,album_date,album_tracks,album_pic,genres,alphaname
Eric Dolphy,Far Cry,Far Cry,Album,1962,Mrs. Parker Of K.C. (Bird's Mother) (08:01)/Ode To Charlie Parker (08:42)/Far Cry (03:53)/Miss Ann (04:15)/Left Alone (06:39)/Tenderly (04:18)/It's Magic (05:39)/Serene (06:37,https://i.scdn.co/image/ab67616d00001e0277dc791795c43bcad93b9f86,Free Jazz/Jazz/Hard Bop/Bebop/Avant-garde/Latin Jazz,
Eric Dolphy,Miss Ann,Far Cry,Album,1962,Mrs. Parker Of K.C. (Bird's Mother) (08:01)/Ode To Charlie Parker (08:42)/Far Cry (03:53)/Miss Ann (04:15)/Left Alone (06:39)/Tenderly (04:18)/It's Magic (05:39)/Serene (06:37,https://i.scdn.co/image/ab67616d00001e0277dc791795c43bcad93b9f86,Free Jazz/Jazz/Hard Bop/Bebop/Avant-garde/Latin Jazz,
Eric Dolphy,Left Alone,Far Cry,Album,1962,Mrs. Parker Of K.C. (Bird's Mother) (08:01)/Ode To Charlie Parker (08:42)/Far Cry (03:53)/Miss Ann (04:15)/Left Alone (06:39)/Tenderly (04:18)/It's Magic (05:39)/Serene (06:37,https://i.scdn.co/image/ab67616d00001e0277dc791795c43bcad93b9f86,Free Jazz/Jazz/Hard Bop/Bebop/Avant-garde/Latin Jazz,
Eric Dolphy,Tenderly,Far Cry,Album,1962,Mrs. Parker Of K.C. (Bird's Mother) (08:01)/Ode To Charlie Parker (08:42)/Far Cry (03:53)/Miss Ann (04:15)/Left Alone (06:39)/Tenderly (04:18)/It's Magic (05:39)/Serene (06:37,https://i.scdn.co/image/ab67616d00001e0277dc791795c43bcad93b9f86,Free Jazz/Jazz/Hard Bop/Bebop/Avant-garde/Latin Jazz,
Eric Dolphy,It's Magic,Far Cry,Album,1962,Mrs. Parker Of K.C. (Bird's Mother) (08:01)/Ode To Charlie Parker (08:42)/Far Cry (03:53)/Miss Ann (04:15)/Left Alone (06:39)/Tenderly (04:18)/It's Magic (05:39)/Serene (06:37,https://i.scdn.co/image/ab67616d00001e0277dc791795c43bcad93b9f86,Free Jazz/Jazz/Hard Bop/Bebop/Avant-garde/Latin Jazz,
Eric Dolphy,Serene,Far Cry,Album,1962,Mrs. Parker Of K.C. (Bird's Mother) (08:01)/Ode To Charlie Parker (08:42)/Far Cry (03:53)/Miss Ann (04:15)/Left Alone (06:39)/Tenderly (04:18)/It's Magic (05:39)/Serene (06:37,https://i.scdn.co/image/ab67616d00001e0277dc791795c43bcad93b9f86,Free Jazz/Jazz/Hard Bop/Bebop/Avant-garde/Latin Jazz,
Thelonious Monk,Monk Speaks,The Columbia Years,Compilation,1962,"Monk Speaks (00:04)/Bye-Ya (05:58)/Coming On the Hudson - Take 3 (07:31)/Rhythm-A-Ning - Take 2 (03:53)/Think of One - Take 2 (06:03)/Pannonica - Take 2 (06:45)/Crepuscule with Nellie (02:44)/April In Paris - Take 6 (07:59)/Ugly Beauty - Take 5 (10:44)/Honeysuckle Rose - Take 1 (07:03)/In Walked Bud (06:48)/Thelonious - Take 3 (03:10)/Reflections - Take 6 (04:34)/Blue Monk - Take 2 (05:16)/'Round Midnight - Take 2 (03:48)/Dinah (Take 2) (02:28)/Ask Me Now - Take 1 (03:42)/Ruby, My Dear - Take 1 (04:44)/Don't Blame Me - Live (05:46)/(When It's) Darkness on the Delta - Live [Lincoln Center] (05:05)/Played Twice - Live [Lincoln Center] (07:31)/I Mean You - Live [Lincoln Center] (12:46)/Bemsha Swing - Live [Tokyo] (04:26)/Jackie-ing - Live [Tokyo] (05:02)/Nutty - Live (13:51)/Straight, No Chaser - Live (11:15)/Evidence - Live [Stockholm] (09:00)/Epistrophy - Live [Stockholm] (05:33)/Well, You Needn't - Live at the ""It"" Club, Los Angeles, CA - Oct/Nov 1964 (09:16)/Misterioso - Live at the ""It"" Club, Los Angeles, CA - Oct/Nov 1964 (08:21)/Hackensack - Live [The Jazz Workshop], 2001 (07:58)/Bright Mississippi - Live (08:11",https://i.scdn.co/image/ab67616d00001e028689831eae23f5844ef3354b,Jazz/Bebop/Hard Bop/Cool Jazz,
Thelonious Monk Quartet,Bye-Ya,The Columbia Years,Compilation,1962,"Monk Speaks (00:04)/Bye-Ya (05:58)/Coming On the Hudson - Take 3 (07:31)/Rhythm-A-Ning - Take 2 (03:53)/Think of One - Take 2 (06:03)/Pannonica - Take 2 (06:45)/Crepuscule with Nellie (02:44)/April In Paris - Take 6 (07:59)/Ugly Beauty - Take 5 (10:44)/Honeysuckle Rose - Take 1 (07:03)/In Walked Bud (06:48)/Thelonious - Take 3 (03:10)/Reflections - Take 6 (04:34)/Blue Monk - Take 2 (05:16)/'Round Midnight - Take 2 (03:48)/Dinah (Take 2) (02:28)/Ask Me Now - Take 1 (03:42)/Ruby, My Dear - Take 1 (04:44)/Don't Blame Me - Live (05:46)/(When It's) Darkness on the Delta - Live [Lincoln Center] (05:05)/Played Twice - Live [Lincoln Center] (07:31)/I Mean You - Live [Lincoln Center] (12:46)/Bemsha Swing - Live [Tokyo] (04:26)/Jackie-ing - Live [Tokyo] (05:02)/Nutty - Live (13:51)/Straight, No Chaser - Live (11:15)/Evidence - Live [Stockholm] (09:00)/Epistrophy - Live [Stockholm] (05:33)/Well, You Needn't - Live at the ""It"" Club, Los Angeles, CA - Oct/Nov 1964 (09:16)/Misterioso - Live at the ""It"" Club, Los Angeles, CA - Oct/Nov 1964 (08:21)/Hackensack - Live [The Jazz Workshop], 2001 (07:58)/Bright Mississippi - Live (08:11",https://i.scdn.co/image/ab67616d00001e028689831eae23f5844ef3354b,Jazz/Hard Bop/Bebop,
Thelonious Monk,Coming On the Hudson - Take 3,The Columbia Years,Compilation,1962,"Monk Speaks (00:04)/Bye-Ya (05:58)/Coming On the Hudson - Take 3 (07:31)/Rhythm-A-Ning - Take 2 (03:53)/Think of One - Take 2 (06:03)/Pannonica - Take 2 (06:45)/Crepuscule with Nellie (02:44)/April In Paris - Take 6 (07:59)/Ugly Beauty - Take 5 (10:44)/Honeysuckle Rose - Take 1 (07:03)/In Walked Bud (06:48)/Thelonious - Take 3 (03:10)/Reflections - Take 6 (04:34)/Blue Monk - Take 2 (05:16)/'Round Midnight - Take 2 (03:48)/Dinah (Take 2) (02:28)/Ask Me Now - Take 1 (03:42)/Ruby, My Dear - Take 1 (04:44)/Don't Blame Me - Live (05:46)/(When It's) Darkness on the Delta - Live [Lincoln Center] (05:05)/Played Twice - Live [Lincoln Center] (07:31)/I Mean You - Live [Lincoln Center] (12:46)/Bemsha Swing - Live [Tokyo] (04:26)/Jackie-ing - Live [Tokyo] (05:02)/Nutty - Live (13:51)/Straight, No Chaser - Live (11:15)/Evidence - Live [Stockholm] (09:00)/Epistrophy - Live [Stockholm] (05:33)/Well, You Needn't - Live at the ""It"" Club, Los Angeles, CA - Oct/Nov 1964 (09:16)/Misterioso - Live at the ""It"" Club, Los Angeles, CA - Oct/Nov 1964 (08:21)/Hackensack - Live [The Jazz Workshop], 2001 (07:58)/Bright Mississippi - Live (08:11",https://i.scdn.co/image/ab67616d00001e028689831eae23f5844ef3354b,Jazz/Bebop/Hard Bop/Cool Jazz,
Thelonious Monk,Rhythm-A-Ning - Take 2,The Columbia Years,Compilation,1962,"Monk Speaks (00:04)/Bye-Ya (05:58)/Coming On the Hudson - Take 3 (07:31)/Rhythm-A-Ning - Take 2 (03:53)/Think of One - Take 2 (06:03)/Pannonica - Take 2 (06:45)/Crepuscule with Nellie (02:44)/April In Paris - Take 6 (07:59)/Ugly Beauty - Take 5 (10:44)/Honeysuckle Rose - Take 1 (07:03)/In Walked Bud (06:48)/Thelonious - Take 3 (03:10)/Reflections - Take 6 (04:34)/Blue Monk - Take 2 (05:16)/'Round Midnight - Take 2 (03:48)/Dinah (Take 2) (02:28)/Ask Me Now - Take 1 (03:42)/Ruby, My Dear - Take 1 (04:44)/Don't Blame Me - Live (05:46)/(When It's) Darkness on the Delta - Live [Lincoln Center] (05:05)/Played Twice - Live [Lincoln Center] (07:31)/I Mean You - Live [Lincoln Center] (12:46)/Bemsha Swing - Live [Tokyo] (04:26)/Jackie-ing - Live [Tokyo] (05:02)/Nutty - Live (13:51)/Straight, No Chaser - Live (11:15)/Evidence - Live [Stockholm] (09:00)/Epistrophy - Live [Stockholm] (05:33)/Well, You Needn't - Live at the ""It"" Club, Los Angeles, CA - Oct/Nov 1964 (09:16)/Misterioso - Live at the ""It"" Club, Los Angeles, CA - Oct/Nov 1964 (08:21)/Hackensack - Live [The Jazz Workshop], 2001 (07:58)/Bright Mississippi - Live (08:11",https://i.scdn.co/image/ab67616d00001e028689831eae23f5844ef3354b,Jazz/Bebop/Hard Bop/Cool Jazz,
